iter	Passed	Remaining
613	15187	4600
614	15212	4576
615	15235	4550
616	15261	4526
617	15286	4501
618	15310	4476
619	15334	4451
620	15358	4426
621	15381	4401
622	15407	4377
623	15432	4352
624	15456	4327
625	15484	4303
626	15507	4278
627	15531	4253
628	15555	4228
629	15577	4203
630	15604	4179
631	15629	4154
632	15653	4129
633	15679	4105
634	15703	4080
635	15726	4055
636	15751	4030
637	15775	4005
638	15800	3980
639	15825	3956
640	15848	3931
641	15871	3906
642	15896	3881
643	15920	3856
644	15948	3832
645	15970	3807
646	15994	3782
647	16017	3757
648	16044	3732
649	16067	3707
650	16093	3683
651	16117	3658
652	16140	3633
653	16165	3608
654	16191	3584
655	16214	3559
656	16242	3535
657	16266	3510
658	16289	3485
659	16311	3460
660	16334	3435
661	16358	3410
662	16382	3385
663	16407	3360
664	16432	3335
665	16457	3311
666	16481	3286
667	16506	3261
668	16531	3237
669	16554	3212
670	16579	3187
671	16603	3162
672	16628	3137
673	16652	3113
674	16676	3088
675	16700	3063
676	16726	3038
677	16750	3014
678	16776	2989
679	16801	2964
680	16825	2940
681	16851	2915
682	16875	2890
683	16900	2866
684	16924	2841
685	16949	2816
686	16976	2792
687	17001	2767
688	17029	2743
689	17055	2718
690	17078	2693
691	17102	2669
692	17127	2644
693	17150	2619
694	17175	2594
695	17199	2570
696	17222	2545
697	17247	2520
698	17269	2495
699	17295	2470
700	17321	2446
701	17344	2421
702	17367	2396
703	17391	2371
704	17416	2346
705	17441	2322
706	17465	2297
707	17490	2272
708	17515	2248
709	17542	2223
710	17569	2199
711	17593	2174
712	17616	2149
713	17640	2124
714	17664	2099
715	17687	2075
716	17711	2050
717	17737	2025
718	17762	2001
719	17787	1976
720	17813	1951
721	17838	1927
722	17863	1902
723	17888	1877
724	17912	1853
725	17940	1828
726	17964	1803
727	17989	1779
728	18013	1754
729	18038	1729
730	18062	1704
731	18086	1680
732	18112	1655
733	18137	1630
734	18162	1606
735	18185	1581
736	18209	1556
737	18232	1531
738	18257	1507
739	18280	1482
740	18304	1457
741	18331	1432
742	18355	1408
743	18378	1383
744	18403	1358
745	18428	1333
746	18452	1309
747	18476	1284
748	18499	1259
749	18524	1234
750	18549	1210
751	18572	1185
752	18598	1160
753	18623	1136
754	18646	1111
755	18671	1086
756	18695	1061
757	18720	1037
758	18744	1012
759	18768	987
760	18790	962
761	18814	938
762	18840	913
763	18863	888
764	18888	864
765	18912	839
766	18936	814
767	18961	790
768	18989	765
769	19015	740
770	19039	716
771	19062	691
772	19086	666
773	19110	641
774	19135	617
775	19160	592
776	19185	567
777	19211	543
778	19234	518
779	19260	493
780	19284	469
781	19314	444
782	19339	419
783	19363	395
784	19388	370
785	19414	345
786	19439	321
787	19464	296
788	19487	271
789	19514	247
790	19540	222
791	19566	197
792	19591	172
793	19621	148
794	19645	123
795	19672	98
796	19696	74
797	19720	49
798	19744	24
799	19769	0
